message_id,customer_id,timestamp,message_text,channel,previous_tickets
MSG00071,CUST7949,2026-05-14 10:16:35.945596,No response from team,Email,0
MSG00072,CUST2018,2026-05-09 10:16:35.945602,Cannot login to account,Email,3
MSG00073,CUST6593,2026-05-02 10:16:35.945605,I was charged twice for my order,App,3
MSG00074,CUST6209,2026-05-02 10:16:35.945609,Error during payment !!! urgent help !!!,App,4
MSG00075,CUST8339,2026-04-27 10:16:35.945613,Payment failed but money deducted,Social,4
MSG00076,CUST8486,2026-05-04 10:16:35.945617,Wrong item delivered,Chat,1
MSG00077,CUST1066,2026-05-11 10:16:35.945625,Delivery delayed again,Chat,0
MSG00078,CUST7969,2026-05-03 10:16:35.945628,I am unhappy with support !!! urgent help !!!,Chat,2
MSG00079,CUST8424,2026-05-20 10:16:35.945633,Wrong item delivered,Chat,0
MSG00080,CUST2027,2026-05-19 10:16:35.945637,Tracking not updating,Email,2
MSG00081,CUST1332,2026-04-29 10:16:35.945641,Payment failed but money deducted,App,2
MSG00082,CUST6220,2026-04-30 10:16:35.945645,I was charged twice for my order,Email,4
MSG00083,CUST6813,2026-05-20 10:16:35.945649,I am unhappy with support,Social,3
MSG00084,CUST8022,2026-05-10 10:16:35.945652,My package has not arrived,App,0
MSG00085,CUST3790,2026-05-18 10:16:35.945656,Need invoice for my purchase !!! urgent help !!!,Social,5
MSG00086,CUST8090,2026-05-03 10:16:35.945660,I was charged twice for my order,Social,5
MSG00087,CUST1985,2026-05-03 10:16:35.945664,Worst experience ever,Chat,4
MSG00088,CUST8391,2026-05-11 10:16:35.945669,I was charged twice for my order,Email,5
MSG00089,CUST9082,2026-05-05 10:16:35.945673,Website not loading !!! urgent help !!!,Chat,0
MSG00090,CUST7907,2026-05-09 10:16:35.945678,Password reset not working,Social,5
MSG00091,CUST6643,2026-04-22 10:16:35.945683,Worst experience ever,App,4
MSG00092,CUST5300,2026-04-30 10:16:35.945687,Order stuck in transit,Email,1
MSG00093,CUST4292,2026-05-13 10:16:35.945692,Wrong item delivered,Social,1
MSG00094,CUST5215,2026-05-09 10:16:35.945696,Password reset not working,App,0
MSG00095,CUST6459,2026-05-18 10:16:35.945699,Tracking not updating !!! urgent help !!!,App,5
MSG00096,CUST3959,2026-05-11 10:16:35.945703,Wrong item delivered,Email,3
MSG00097,CUST1588,2026-05-15 10:16:35.945707,Password reset not working !!! urgent help !!!,Chat,1
MSG00098,CUST3322,2026-05-02 10:16:35.945711,   ,Chat,0
MSG00099,CUST9646,2026-04-20 10:16:35.945715,App is crashing,App,1
MSG00100,CUST4498,2026-04-25 10:16:35.945719,   ,Chat,2
MSG00101,CUST7933,2026-05-16 10:16:35.945724,I am unhappy with support,App,0
MSG00102,CUST1785,2026-05-04 10:16:35.945728,My package has not arrived,Chat,3
MSG00103,CUST1434,2026-04-23 10:16:35.945732,I want refund immediately,App,1
MSG00104,CUST5979,2026-05-09 10:16:35.945735,No response from team,App,3
MSG00105,CUST5583,2026-04-20 10:16:35.945739,Payment failed but money deducted !!! urgent help !!!,Chat,5
MSG00106,CUST7190,2026-05-01 10:16:35.945743,Order stuck in transit,Email,3
MSG00107,CUST3233,2026-04-29 10:16:35.945747,Payment failed but money deducted !!! urgent help !!!,Chat,2
MSG00108,CUST4332,2026-04-25 10:16:35.945751,Very bad service,App,3
MSG00109,CUST2777,2026-05-06 10:16:35.945757,Wrong item delivered !!! urgent help !!!,Chat,5
MSG00110,CUST1185,2026-05-02 10:16:35.945761,Coupon code not working,Email,4
MSG00111,CUST5415,2026-05-19 10:16:35.945766,Website not loading,Social,2
MSG00112,CUST3265,2026-05-15 10:16:35.945770,Refund not received yet,App,1
MSG00113,CUST5622,2026-05-07 10:16:35.945774,No response from team,Social,3
MSG00114,CUST8336,2026-04-24 10:16:35.945778,Very bad service !!! urgent help !!!,Chat,2
MSG00115,CUST5498,2026-04-24 10:16:35.945782,Order stuck in transit,Email,1
MSG00116,CUST5896,2026-05-04 10:16:35.945786,Tracking not updating !!! urgent help !!!,App,3
MSG00117,CUST3513,2026-05-12 10:16:35.945790,App is crashing !!! urgent help !!!,Social,3
MSG00118,CUST2670,2026-04-26 10:16:35.945794,Delivery delayed again,Email,1
MSG00119,CUST9199,2026-05-15 10:16:35.945798,Coupon code not working,Email,3
MSG00120,CUST2063,2026-05-17 10:16:35.945802,Coupon code not working !!! urgent help !!!,Email,3
MSG00121,CUST3062,2026-04-23 10:16:35.945806,No response from team,Email,0
MSG00122,CUST8545,2026-05-09 10:16:35.945811,Delivery delayed again,Social,4
MSG00123,CUST3950,2026-05-17 10:16:35.945815,Refund not received yet,Chat,0
MSG00124,CUST8545,2026-05-13 10:16:35.945819,App is crashing,Email,0
MSG00125,CUST9564,2026-05-12 10:16:35.945822,Wrong item delivered !!! urgent help !!!,Social,5
MSG00126,CUST1826,2026-05-02 10:16:35.945826,Cannot login to account,Social,5
MSG00127,CUST7177,2026-05-07 10:16:35.945830,Error during payment,Email,2
MSG00128,CUST3207,2026-05-03 10:16:35.945834,Cannot login to account,Social,4
MSG00129,CUST6227,2026-04-21 10:16:35.945838,Worst experience ever,Email,1
MSG00130,CUST3338,2026-05-05 10:16:35.945843,Tracking not updating,App,1
MSG00131,CUST6569,2026-04-23 10:16:35.945847,Payment failed but money deducted,Email,5
MSG00132,CUST3250,2026-05-11 10:16:35.945851,   ,Chat,0
MSG00133,CUST5904,2026-05-18 10:16:35.945855,I was charged twice for my order,App,4
MSG00134,CUST4936,2026-05-07 10:16:35.945859,My package has not arrived,Chat,5
MSG00135,CUST1788,2026-04-28 10:16:35.945863,No response from team !!! urgent help !!!,Social,0
MSG00136,CUST5687,2026-05-06 10:16:35.945867,Tracking not updating,Chat,5
MSG00137,CUST6590,2026-05-11 10:16:35.945871,Error during payment,Chat,5
MSG00138,CUST4185,2026-05-11 10:16:35.945875,No response from team,Social,2
MSG00139,CUST9224,2026-04-22 10:16:35.945879,Coupon code not working !!! urgent help !!!,App,0
MSG00140,CUST1840,2026-05-13 10:16:35.945883,Worst experience ever,App,5
MSG00141,CUST6063,2026-05-07 10:16:35.945887,Password reset not working !!! urgent help !!!,Social,1
MSG00142,CUST9031,2026-05-10 10:16:35.945890,Order stuck in transit,Chat,4
MSG00143,CUST8534,2026-05-05 10:16:35.945895,Cannot login to account,App,5
MSG00144,CUST5258,2026-04-22 10:16:35.945900,My package has not arrived,Email,1
MSG00145,CUST8461,2026-05-06 10:16:35.945904,Cannot login to account,Email,2
MSG00146,CUST4453,2026-04-23 10:16:35.945907,I am unhappy with support,Social,4
MSG00147,CUST4367,2026-05-02 10:16:35.945913,My package has not arrived !!! urgent help !!!,Chat,3
MSG00148,CUST9154,2026-05-19 10:16:35.945917,Delivery delayed again,Email,5
MSG00149,CUST9103,2026-04-30 10:16:35.945921,Worst experience ever,Chat,4
MSG00150,CUST2584,2026-05-04 10:16:35.945926,Very bad service !!! urgent help !!!,Email,0
MSG00151,CUST4412,2026-05-03 10:16:35.945930,I want refund immediately,App,3
MSG00152,CUST9843,2026-05-20 10:16:35.945934,Delivery delayed again,Chat,2
MSG00153,CUST1047,2026-05-07 10:16:35.945938,   ,App,3
MSG00154,CUST9349,2026-05-17 10:16:35.945942,Refund not received yet,Email,4
MSG00155,CUST9493,2026-05-13 10:16:35.945946,Worst experience ever,Email,1
MSG00156,CUST7732,2026-04-29 10:16:35.945950,Payment failed but money deducted,Email,1
MSG00157,CUST5976,2026-05-05 10:16:35.945954,Worst experience ever !!! urgent help !!!,Social,3
MSG00158,CUST6102,2026-04-27 10:16:35.945958,Very bad service,Social,0
MSG00159,CUST3426,2026-05-13 10:16:35.945962,   ,Email,4
MSG00160,CUST9095,2026-05-12 10:16:35.945965,   ,Email,4
MSG00161,CUST9670,2026-05-17 10:16:35.945969,Refund not received yet !!! urgent help !!!,Email,2
MSG00162,CUST9323,2026-04-22 10:16:35.945973,Website not loading,Social,3
MSG00163,CUST2524,2026-05-15 10:16:35.945977,Payment failed but money deducted,App,4
MSG00164,CUST8123,2026-05-04 10:16:35.945983,Payment failed but money deducted !!! urgent help !!!,Chat,4
MSG00165,CUST8565,2026-05-15 10:16:35.945987,My package has not arrived,App,2
MSG00166,CUST3652,2026-04-24 10:16:35.945990,I want refund immediately,Chat,4
MSG00167,CUST3642,2026-05-11 10:16:35.945994,Refund not received yet,Email,5
MSG00168,CUST5034,2026-05-09 10:16:35.945998,Coupon code not working,Chat,1
MSG00169,CUST1292,2026-05-05 10:16:35.946003,Website not loading,Chat,3
MSG00170,CUST9423,2026-05-07 10:16:35.946007,Need invoice for my purchase,App,4
MSG00171,CUST4662,2026-04-29 10:16:35.946011,Payment failed but money deducted,Email,5
MSG00172,CUST3464,2026-05-05 10:16:35.946015,No response from team,Email,3
MSG00173,CUST9257,2026-04-26 10:16:35.946019,No response from team,Social,2
MSG00174,CUST1724,2026-05-14 10:16:35.946023,Website not loading,Chat,0
MSG00175,CUST5619,2026-04-25 10:16:35.946027,Order stuck in transit,Chat,1
MSG00176,CUST4865,2026-04-30 10:16:35.946031,Delivery delayed again !!! urgent help !!!,App,3
MSG00177,CUST9050,2026-05-02 10:16:35.946035,   ,Chat,2
MSG00178,CUST5614,2026-05-08 10:16:35.946039,Worst experience ever,Social,2
MSG00179,CUST8768,2026-05-04 10:16:35.946043,My package has not arrived,Email,1
MSG00180,CUST5305,2026-05-08 10:16:35.946046,Password reset not working,Email,0
MSG00181,CUST8930,2026-05-16 10:16:35.946051,Payment failed but money deducted,Social,0
MSG00182,CUST4810,2026-05-09 10:16:35.946055,   ,App,5
MSG00183,CUST3140,2026-05-04 10:16:35.946059,I am unhappy with support !!! urgent help !!!,Chat,4
MSG00184,CUST7212,2026-05-03 10:16:35.946063,Need invoice for my purchase !!! urgent help !!!,Social,4
MSG00185,CUST1957,2026-05-18 10:16:35.946067,Very bad service !!! urgent help !!!,Social,5
MSG00186,CUST5120,2026-05-16 10:16:35.946072,My package has not arrived,Email,1
MSG00187,CUST4354,2026-05-17 10:16:35.946076,I am unhappy with support,App,3
MSG00188,CUST5891,2026-05-05 10:16:35.946080,Worst experience ever,Social,3
MSG00189,CUST7889,2026-04-28 10:16:35.946085,Tracking not updating,App,4
MSG00190,CUST2024,2026-04-23 10:16:35.946090,Cannot login to account !!! urgent help !!!,Email,4
MSG00191,CUST4643,2026-04-26 10:16:35.946094,Need invoice for my purchase,App,0
MSG00192,CUST6471,2026-05-04 10:16:35.946098,   ,App,5
MSG00193,CUST7045,2026-04-29 10:16:35.946102,Wrong item delivered,Social,3
MSG00194,CUST2792,2026-04-25 10:16:35.946106,I am unhappy with support,Social,2
MSG00195,CUST4868,2026-05-01 10:16:35.946110,   ,Social,2
MSG00196,CUST2317,2026-05-13 10:16:35.946113,Refund not received yet,Email,3
MSG00197,CUST2455,2026-04-23 10:16:35.946117,Website not loading,App,0
MSG00198,CUST9923,2026-05-12 10:16:35.946121,Tracking not updating,App,5
MSG00199,CUST6384,2026-04-23 10:16:35.946126,Payment failed but money deducted,App,4
MSG00200,CUST9869,2026-05-18 10:16:35.946129,I was charged twice for my order !!! urgent help !!!,Email,0
MSG00201,CUST5273,2026-04-29 10:16:35.946134,I want refund immediately !!! urgent help !!!,Email,2
MSG00202,CUST5476,2026-05-01 10:16:35.946138,Cannot login to account !!! urgent help !!!,Social,1
MSG00203,CUST3281,2026-05-01 10:16:35.946142,Website not loading,Chat,3
MSG00204,CUST3337,2026-05-05 10:16:35.946147,Delivery delayed again !!! urgent help !!!,App,5
MSG00205,CUST9933,2026-05-16 10:16:35.946151,Cannot login to account !!! urgent help !!!,Social,0
MSG00206,CUST9313,2026-05-16 10:16:35.946154,Coupon code not working,Email,4
MSG00207,CUST6716,2026-05-17 10:16:35.946160,Need invoice for my purchase,Chat,3
MSG00208,CUST1851,2026-04-26 10:16:35.946164,Order stuck in transit,Chat,4
MSG00209,CUST5428,2026-04-27 10:16:35.946168,Refund not received yet,Email,0
MSG00210,CUST8476,2026-05-16 10:16:35.946172,Error during payment,Social,1
MSG00211,CUST6415,2026-05-15 10:16:35.946176,Payment failed but money deducted,App,4
MSG00212,CUST9211,2026-04-28 10:16:35.946180,Very bad service,Email,0
MSG00213,CUST9682,2026-05-10 10:16:35.946184,Website not loading,Email,1
MSG00214,CUST3601,2026-04-30 10:16:35.946190,Refund not received yet,Chat,2
MSG00215,CUST3224,2026-04-30 10:16:35.946195,App is crashing,Chat,4
MSG00216,CUST9518,2026-05-05 10:16:35.946200,Error during payment,App,4
MSG00217,CUST4465,2026-05-04 10:16:35.946206,I want refund immediately !!! urgent help !!!,Email,0
MSG00218,CUST7602,2026-05-10 10:16:35.946270,Coupon code not working,Email,4
MSG00219,CUST4783,2026-05-15 10:16:35.946282,My package has not arrived,Social,5
MSG00220,CUST8720,2026-04-22 10:16:35.946288,App is crashing,Chat,5
MSG00221,CUST8753,2026-05-18 10:16:35.946293,Tracking not updating,App,4
MSG00222,CUST3457,2026-05-05 10:16:35.946305,Error during payment !!! urgent help !!!,Social,4
MSG00223,CUST8847,2026-04-21 10:16:35.946311,App is crashing,Social,5
MSG00224,CUST4908,2026-04-28 10:16:35.946316,My package has not arrived,Email,2
MSG00225,CUST3285,2026-04-25 10:16:35.946325,No response from team,Social,2
MSG00226,CUST6766,2026-05-11 10:16:35.946338,Tracking not updating !!! urgent help !!!,Social,2
MSG00227,CUST3557,2026-05-08 10:16:35.946344,Cannot login to account,Social,2
MSG00228,CUST6393,2026-05-06 10:16:35.946354,Cannot login to account,App,2
MSG00229,CUST5612,2026-05-14 10:16:35.946359,No response from team,Email,0
MSG00230,CUST4988,2026-05-05 10:16:35.946365,Wrong item delivered,Social,1
MSG00231,CUST6442,2026-05-03 10:16:35.946370,Need invoice for my purchase,Social,0
MSG00232,CUST7213,2026-05-13 10:16:35.946378,Tracking not updating !!! urgent help !!!,App,2
MSG00233,CUST4862,2026-04-20 10:16:35.946388,App is crashing,Chat,3
MSG00234,CUST8140,2026-05-18 10:16:35.946394,I am unhappy with support,Email,5
MSG00235,CUST4285,2026-05-14 10:16:35.946399,My package has not arrived !!! urgent help !!!,App,0
MSG00236,CUST2326,2026-05-16 10:16:35.946404,I want refund immediately,Social,4
MSG00237,CUST7368,2026-05-02 10:16:35.946409,Password reset not working !!! urgent help !!!,Chat,0
MSG00238,CUST2991,2026-04-21 10:16:35.946415,Order stuck in transit,Chat,0
MSG00239,CUST6020,2026-05-03 10:16:35.946421,Delivery delayed again !!! urgent help !!!,Chat,4
MSG00240,CUST6119,2026-05-05 10:16:35.946426,Password reset not working,App,1
MSG00241,CUST5167,2026-04-30 10:16:35.946432,Order stuck in transit,Social,1
MSG00242,CUST5681,2026-04-22 10:16:35.946438,Coupon code not working !!! urgent help !!!,Social,1
MSG00243,CUST7504,2026-05-01 10:16:35.946443,Coupon code not working,Chat,3
MSG00244,CUST7756,2026-04-21 10:16:35.946449,Password reset not working !!! urgent help !!!,Chat,2
MSG00245,CUST3191,2026-04-23 10:16:35.946456,Refund not received yet,App,1
MSG00246,CUST7833,2026-04-23 10:16:35.946461,Cannot login to account !!! urgent help !!!,App,4
MSG00247,CUST2837,2026-05-12 10:16:35.946475,Error during payment,Social,2
MSG00248,CUST6834,2026-04-20 10:16:35.946488,My package has not arrived,Chat,5
MSG00249,CUST2107,2026-04-20 10:16:35.946505,Password reset not working,Chat,5
MSG00250,CUST4649,2026-05-09 10:16:35.946518,Order stuck in transit,App,2
MSG00251,CUST8748,2026-05-18 10:16:35.946532,Tracking not updating !!! urgent help !!!,App,1
MSG00252,CUST1292,2026-04-29 10:16:35.946544,Cannot login to account,Email,3
MSG00253,CUST2922,2026-05-20 10:16:35.946557,Tracking not updating,Chat,2
MSG00254,CUST1153,2026-04-29 10:16:35.946572,I want refund immediately !!! urgent help !!!,Social,1
MSG00255,CUST1485,2026-05-14 10:16:35.946584,Delivery delayed again !!! urgent help !!!,Chat,2
MSG00256,CUST2056,2026-04-20 10:16:35.946597,I was charged twice for my order,Social,1
MSG00257,CUST6779,2026-05-07 10:16:35.946612,I was charged twice for my order,App,2
MSG00258,CUST4968,2026-05-11 10:16:35.946627,App is crashing !!! urgent help !!!,App,3
MSG00259,CUST4283,2026-05-11 10:16:35.946668,Coupon code not working !!! urgent help !!!,Email,1
MSG00260,CUST7283,2026-05-01 10:16:35.946677,Error during payment,Email,3
MSG00261,CUST5069,2026-05-03 10:16:35.946686,Need invoice for my purchase,Social,0
MSG00262,CUST3681,2026-04-26 10:16:35.946694,My package has not arrived !!! urgent help !!!,Email,0
MSG00263,CUST9862,2026-05-06 10:16:35.946702,Wrong item delivered,Email,0
MSG00264,CUST4801,2026-05-19 10:16:35.946711,I want refund immediately,Chat,0
MSG00265,CUST6449,2026-04-30 10:16:35.946719,Very bad service !!! urgent help !!!,Chat,0
MSG00266,CUST7030,2026-05-04 10:16:35.946729,I want refund immediately,App,1
MSG00267,CUST8407,2026-05-17 10:16:35.946742,   ,Email,1
MSG00268,CUST7259,2026-05-08 10:16:35.946751,Cannot login to account !!! urgent help !!!,Email,0
MSG00269,CUST9704,2026-05-12 10:16:35.946764,Password reset not working,Chat,4
MSG00270,CUST1158,2026-05-08 10:16:35.946773,Website not loading,Email,0
MSG00271,CUST8352,2026-05-10 10:16:35.946786,Tracking not updating,App,3
MSG00272,CUST3746,2026-04-30 10:16:35.946796,My package has not arrived,Email,3
MSG00273,CUST4589,2026-05-06 10:16:35.946804,Password reset not working !!! urgent help !!!,App,5
MSG00274,CUST6440,2026-04-20 10:16:35.946813,My package has not arrived !!! urgent help !!!,App,3
MSG00275,CUST1447,2026-04-23 10:16:35.946822,Password reset not working,Email,5
MSG00276,CUST9540,2026-05-05 10:16:35.946831,Need invoice for my purchase !!! urgent help !!!,Social,0
MSG00277,CUST4128,2026-05-06 10:16:35.946840,Cannot login to account,Chat,0
MSG00278,CUST3337,2026-05-07 10:16:35.946849,Cannot login to account !!! urgent help !!!,Email,5
MSG00279,CUST7868,2026-04-23 10:16:35.946858,Refund not received yet,Email,2
MSG00280,CUST1844,2026-04-22 10:16:35.946867,Need invoice for my purchase,Email,0
MSG00281,CUST6061,2026-04-30 10:16:35.946876,Tracking not updating !!! urgent help !!!,Social,3
MSG00282,CUST6577,2026-04-20 10:16:35.946885,Need invoice for my purchase !!! urgent help !!!,App,0
MSG00283,CUST3644,2026-04-23 10:16:35.946893,   ,App,2
MSG00284,CUST6454,2026-05-09 10:16:35.946902,No response from team,Social,1
MSG00285,CUST5523,2026-05-12 10:16:35.946910,Very bad service,Email,0
MSG00286,CUST6055,2026-04-29 10:16:35.946922,Wrong item delivered,App,0
MSG00287,CUST2379,2026-05-12 10:16:35.946930,Wrong item delivered,App,3
MSG00288,CUST6629,2026-05-06 10:16:35.946938,I am unhappy with support,Social,5
MSG00289,CUST1423,2026-05-19 10:16:35.946947,Error during payment !!! urgent help !!!,Chat,2
MSG00290,CUST4473,2026-04-23 10:16:35.946956,I was charged twice for my order,Email,1
MSG00291,CUST9977,2026-05-17 10:16:35.946965,Refund not received yet,Email,1
MSG00292,CUST1911,2026-05-10 10:16:35.946976,App is crashing,Chat,4
MSG00293,CUST4879,2026-05-06 10:16:35.946986,App is crashing,Social,4
MSG00294,CUST1749,2026-04-25 10:16:35.946995,Payment failed but money deducted !!! urgent help !!!,Social,5
MSG00295,CUST6096,2026-05-14 10:16:35.947004,Worst experience ever,Chat,4
MSG00296,CUST3173,2026-04-22 10:16:35.947013,Error during payment,App,1
MSG00297,CUST1771,2026-04-30 10:16:35.947021,Wrong item delivered !!! urgent help !!!,Chat,5
MSG00298,CUST7305,2026-05-11 10:16:35.947030,Order stuck in transit,App,1
MSG00299,CUST6067,2026-04-21 10:16:35.947038,I was charged twice for my order,Chat,0
MSG00300,CUST5937,2026-05-13 10:16:35.947047,No response from team,App,1
MSG00301,CUST8562,2026-05-01 10:16:35.947056,Need invoice for my purchase,Email,4
MSG00302,CUST4876,2026-04-22 10:16:35.947065,Website not loading,Email,0
MSG00303,CUST4693,2026-04-21 10:16:35.947073,I was charged twice for my order,Email,1
MSG00304,CUST7777,2026-04-24 10:16:35.947082,App is crashing,Social,3
MSG00305,CUST6644,2026-05-16 10:16:35.947091,Refund not received yet !!! urgent help !!!,Social,1
MSG00306,CUST3599,2026-04-21 10:16:35.947102,Very bad service,App,5
MSG00307,CUST7229,2026-05-08 10:16:35.947110,Coupon code not working,Social,2
MSG00308,CUST1148,2026-05-11 10:16:35.947119,Very bad service,Chat,3
MSG00309,CUST6839,2026-05-17 10:16:35.947129,Very bad service !!! urgent help !!!,App,1
MSG00310,CUST9402,2026-04-29 10:16:35.947137,App is crashing,App,2
MSG00311,CUST5464,2026-05-07 10:16:35.947147,Wrong item delivered !!! urgent help !!!,Chat,0
MSG00312,CUST3708,2026-05-09 10:16:35.947156,Very bad service,App,3
MSG00313,CUST1191,2026-05-12 10:16:35.947167,I am unhappy with support !!! urgent help !!!,App,1
MSG00314,CUST6154,2026-05-11 10:16:35.947176,I want refund immediately,Social,1
MSG00315,CUST9976,2026-05-02 10:16:35.947184,Tracking not updating,Chat,2
MSG00316,CUST1219,2026-05-13 10:16:35.947193,Cannot login to account !!! urgent help !!!,App,2
MSG00317,CUST5570,2026-05-10 10:16:35.947206,Error during payment,Social,2
MSG00318,CUST9948,2026-05-02 10:16:35.947217,No response from team,Chat,4
MSG00319,CUST1547,2026-04-28 10:16:35.947231,Wrong item delivered,Social,4
MSG00320,CUST3056,2026-05-01 10:16:35.947245,Refund not received yet,Email,2
MSG00321,CUST6627,2026-04-25 10:16:35.947256,   ,Email,2
