message_id,customer_id,message_text,intent,priority,suggested_reply,escalation_flag
MSG00040,CUST6748,I want refund immediately,Billing,Medium,We are checking your billing issue.,No
MSG00041,CUST9972,Password reset not working,Technical,Medium,We are working on your technical issue.,No
MSG00042,CUST8765,Wrong item delivered,Unknown,Low,We will assist you shortly.,No
MSG00043,CUST1717,App is crashing,Technical,Medium,We are working on your technical issue.,No
MSG00044,CUST6222,Refund not received yet,Billing,Medium,We are checking your billing issue.,No
MSG00045,CUST1585,Worst experience ever,Complaint,High,We are sorry for your experience.,Yes
MSG00046,CUST9873,Order stuck in transit,Unknown,Low,We will assist you shortly.,No
MSG00047,CUST5137,No response from team,Unknown,Low,We will assist you shortly.,No
MSG00048,CUST4535,Payment failed but money deducted,Billing,Medium,We are checking your billing issue.,No
MSG00049,CUST5508,Password reset not working !!! urgent help !!!,Technical,Medium,We are working on your technical issue.,No
MSG00050,CUST2334,Worst experience ever,Complaint,High,We are sorry for your experience.,Yes
MSG00051,CUST2887,Delivery delayed again !!! urgent help !!!,Delivery,Medium,We are checking your order status.,No
MSG00052,CUST2162,   ,Unknown,Low,We will assist you shortly.,No
MSG00053,CUST6873,Cannot login to account !!! urgent help !!!,Technical,Medium,We are working on your technical issue.,No
MSG00054,CUST3420,I want refund immediately,Billing,Medium,We are checking your billing issue.,No
MSG00055,CUST4728,App is crashing !!! urgent help !!!,Technical,Medium,We are working on your technical issue.,No
MSG00056,CUST9646,Refund not received yet,Billing,Medium,We are checking your billing issue.,No
MSG00057,CUST4859,Very bad service,Complaint,High,We are sorry for your experience.,Yes
MSG00058,CUST2686,Wrong item delivered !!! urgent help !!!,Unknown,Low,We will assist you shortly.,No
MSG00059,CUST4928,Error during payment,Billing,Medium,We are checking your billing issue.,No
MSG00060,CUST8281,I want refund immediately,Billing,Medium,We are checking your billing issue.,No
MSG00061,CUST7990,Cannot login to account,Technical,Medium,We are working on your technical issue.,No
MSG00062,CUST8885,Coupon code not working,Unknown,Low,We will assist you shortly.,No
MSG00063,CUST1758,Worst experience ever,Complaint,High,We are sorry for your experience.,Yes
MSG00064,CUST5023,I am unhappy with support,Complaint,High,We are sorry for your experience.,Yes
MSG00065,CUST3032,Tracking not updating,Delivery,Medium,We are checking your order status.,No
MSG00066,CUST7510,Payment failed but money deducted !!! urgent help !!!,Billing,Medium,We are checking your billing issue.,No
MSG00067,CUST8402,Tracking not updating,Delivery,Medium,We are checking your order status.,No
MSG00068,CUST4563,Password reset not working,Technical,Medium,We are working on your technical issue.,No
MSG00069,CUST8354,Coupon code not working !!! urgent help !!!,Unknown,Low,We will assist you shortly.,No
MSG00070,CUST9545,Order stuck in transit,Unknown,Low,We will assist you shortly.,No
MSG00071,CUST7949,No response from team,Unknown,Low,We will assist you shortly.,No
MSG00072,CUST2018,Cannot login to account,Technical,Medium,We are working on your technical issue.,No
MSG00073,CUST6593,I was charged twice for my order,Billing,Medium,We are checking your billing issue.,No
MSG00074,CUST6209,Error during payment !!! urgent help !!!,Billing,Medium,We are checking your billing issue.,No
MSG00075,CUST8339,Payment failed but money deducted,Billing,Medium,We are checking your billing issue.,No
MSG00076,CUST8486,Wrong item delivered,Unknown,Low,We will assist you shortly.,No
MSG00077,CUST1066,Delivery delayed again,Delivery,Medium,We are checking your order status.,No
MSG00078,CUST7969,I am unhappy with support !!! urgent help !!!,Complaint,High,We are sorry for your experience.,Yes
MSG00079,CUST8424,Wrong item delivered,Unknown,Low,We will assist you shortly.,No
MSG00080,CUST2027,Tracking not updating,Delivery,Medium,We are checking your order status.,No
MSG00081,CUST1332,Payment failed but money deducted,Billing,Medium,We are checking your billing issue.,No
MSG00082,CUST6220,I was charged twice for my order,Billing,Medium,We are checking your billing issue.,No
MSG00083,CUST6813,I am unhappy with support,Complaint,High,We are sorry for your experience.,Yes
MSG00084,CUST8022,My package has not arrived,Delivery,Medium,We are checking your order status.,No
MSG00085,CUST3790,Need invoice for my purchase !!! urgent help !!!,Billing,Medium,We are checking your billing issue.,No
MSG00086,CUST8090,I was charged twice for my order,Billing,Medium,We are checking your billing issue.,No
MSG00087,CUST1985,Worst experience ever,Complaint,High,We are sorry for your experience.,Yes
MSG00088,CUST8391,I was charged twice for my order,Billing,Medium,We are checking your billing issue.,No
MSG00089,CUST9082,Website not loading !!! urgent help !!!,Unknown,Low,We will assist you shortly.,No
MSG00090,CUST7907,Password reset not working,Technical,Medium,We are working on your technical issue.,No
MSG00091,CUST6643,Worst experience ever,Complaint,High,We are sorry for your experience.,Yes
MSG00092,CUST5300,Order stuck in transit,Unknown,Low,We will assist you shortly.,No
MSG00093,CUST4292,Wrong item delivered,Unknown,Low,We will assist you shortly.,No
MSG00094,CUST5215,Password reset not working,Technical,Medium,We are working on your technical issue.,No
MSG00095,CUST6459,Tracking not updating !!! urgent help !!!,Delivery,Medium,We are checking your order status.,No
MSG00096,CUST3959,Wrong item delivered,Unknown,Low,We will assist you shortly.,No
MSG00097,CUST1588,Password reset not working !!! urgent help !!!,Technical,Medium,We are working on your technical issue.,No
MSG00098,CUST3322,   ,Unknown,Low,We will assist you shortly.,No
MSG00099,CUST9646,App is crashing,Technical,Medium,We are working on your technical issue.,No
MSG00100,CUST4498,   ,Unknown,Low,We will assist you shortly.,No
MSG00101,CUST7933,I am unhappy with support,Complaint,High,We are sorry for your experience.,Yes
MSG00102,CUST1785,My package has not arrived,Delivery,Medium,We are checking your order status.,No
MSG00103,CUST1434,I want refund immediately,Billing,Medium,We are checking your billing issue.,No
MSG00104,CUST5979,No response from team,Unknown,Low,We will assist you shortly.,No
MSG00105,CUST5583,Payment failed but money deducted !!! urgent help !!!,Billing,Medium,We are checking your billing issue.,No
MSG00106,CUST7190,Order stuck in transit,Unknown,Low,We will assist you shortly.,No
MSG00107,CUST3233,Payment failed but money deducted !!! urgent help !!!,Billing,Medium,We are checking your billing issue.,No
MSG00108,CUST4332,Very bad service,Complaint,High,We are sorry for your experience.,Yes
MSG00109,CUST2777,Wrong item delivered !!! urgent help !!!,Unknown,Low,We will assist you shortly.,No
MSG00110,CUST1185,Coupon code not working,Unknown,Low,We will assist you shortly.,No
MSG00111,CUST5415,Website not loading,Unknown,Low,We will assist you shortly.,No
MSG00112,CUST3265,Refund not received yet,Billing,Medium,We are checking your billing issue.,No
MSG00113,CUST5622,No response from team,Unknown,Low,We will assist you shortly.,No
MSG00114,CUST8336,Very bad service !!! urgent help !!!,Complaint,High,We are sorry for your experience.,Yes
MSG00115,CUST5498,Order stuck in transit,Unknown,Low,We will assist you shortly.,No
MSG00116,CUST5896,Tracking not updating !!! urgent help !!!,Delivery,Medium,We are checking your order status.,No
MSG00117,CUST3513,App is crashing !!! urgent help !!!,Technical,Medium,We are working on your technical issue.,No
MSG00118,CUST2670,Delivery delayed again,Delivery,Medium,We are checking your order status.,No
MSG00119,CUST9199,Coupon code not working,Unknown,Low,We will assist you shortly.,No
MSG00120,CUST2063,Coupon code not working !!! urgent help !!!,Unknown,Low,We will assist you shortly.,No
MSG00121,CUST3062,No response from team,Unknown,Low,We will assist you shortly.,No
MSG00122,CUST8545,Delivery delayed again,Delivery,Medium,We are checking your order status.,No
MSG00123,CUST3950,Refund not received yet,Billing,Medium,We are checking your billing issue.,No
MSG00124,CUST8545,App is crashing,Technical,Medium,We are working on your technical issue.,No
MSG00125,CUST9564,Wrong item delivered !!! urgent help !!!,Unknown,Low,We will assist you shortly.,No
MSG00126,CUST1826,Cannot login to account,Technical,Medium,We are working on your technical issue.,No
MSG00127,CUST7177,Error during payment,Billing,Medium,We are checking your billing issue.,No
MSG00128,CUST3207,Cannot login to account,Technical,Medium,We are working on your technical issue.,No
MSG00129,CUST6227,Worst experience ever,Complaint,High,We are sorry for your experience.,Yes
MSG00130,CUST3338,Tracking not updating,Delivery,Medium,We are checking your order status.,No
MSG00131,CUST6569,Payment failed but money deducted,Billing,Medium,We are checking your billing issue.,No
MSG00132,CUST3250,   ,Unknown,Low,We will assist you shortly.,No
MSG00133,CUST5904,I was charged twice for my order,Billing,Medium,We are checking your billing issue.,No
MSG00134,CUST4936,My package has not arrived,Delivery,Medium,We are checking your order status.,No
MSG00135,CUST1788,No response from team !!! urgent help !!!,Unknown,Low,We will assist you shortly.,No
MSG00136,CUST5687,Tracking not updating,Delivery,Medium,We are checking your order status.,No
MSG00137,CUST6590,Error during payment,Billing,Medium,We are checking your billing issue.,No
MSG00138,CUST4185,No response from team,Unknown,Low,We will assist you shortly.,No
MSG00139,CUST9224,Coupon code not working !!! urgent help !!!,Unknown,Low,We will assist you shortly.,No
MSG00140,CUST1840,Worst experience ever,Complaint,High,We are sorry for your experience.,Yes
MSG00141,CUST6063,Password reset not working !!! urgent help !!!,Technical,Medium,We are working on your technical issue.,No
MSG00142,CUST9031,Order stuck in transit,Unknown,Low,We will assist you shortly.,No
MSG00143,CUST8534,Cannot login to account,Technical,Medium,We are working on your technical issue.,No
MSG00144,CUST5258,My package has not arrived,Delivery,Medium,We are checking your order status.,No
MSG00145,CUST8461,Cannot login to account,Technical,Medium,We are working on your technical issue.,No
MSG00146,CUST4453,I am unhappy with support,Complaint,High,We are sorry for your experience.,Yes
MSG00147,CUST4367,My package has not arrived !!! urgent help !!!,Delivery,Medium,We are checking your order status.,No
MSG00148,CUST9154,Delivery delayed again,Delivery,Medium,We are checking your order status.,No
MSG00149,CUST9103,Worst experience ever,Complaint,High,We are sorry for your experience.,Yes
MSG00150,CUST2584,Very bad service !!! urgent help !!!,Complaint,High,We are sorry for your experience.,Yes
MSG00151,CUST4412,I want refund immediately,Billing,Medium,We are checking your billing issue.,No
MSG00152,CUST9843,Delivery delayed again,Delivery,Medium,We are checking your order status.,No
MSG00153,CUST1047,   ,Unknown,Low,We will assist you shortly.,No
MSG00154,CUST9349,Refund not received yet,Billing,Medium,We are checking your billing issue.,No
MSG00155,CUST9493,Worst experience ever,Complaint,High,We are sorry for your experience.,Yes
MSG00156,CUST7732,Payment failed but money deducted,Billing,Medium,We are checking your billing issue.,No
MSG00157,CUST5976,Worst experience ever !!! urgent help !!!,Complaint,High,We are sorry for your experience.,Yes
MSG00158,CUST6102,Very bad service,Complaint,High,We are sorry for your experience.,Yes
MSG00159,CUST3426,   ,Unknown,Low,We will assist you shortly.,No
MSG00160,CUST9095,   ,Unknown,Low,We will assist you shortly.,No
MSG00161,CUST9670,Refund not received yet !!! urgent help !!!,Billing,Medium,We are checking your billing issue.,No
MSG00162,CUST9323,Website not loading,Unknown,Low,We will assist you shortly.,No
MSG00163,CUST2524,Payment failed but money deducted,Billing,Medium,We are checking your billing issue.,No
MSG00164,CUST8123,Payment failed but money deducted !!! urgent help !!!,Billing,Medium,We are checking your billing issue.,No
MSG00165,CUST8565,My package has not arrived,Delivery,Medium,We are checking your order status.,No
MSG00166,CUST3652,I want refund immediately,Billing,Medium,We are checking your billing issue.,No
MSG00167,CUST3642,Refund not received yet,Billing,Medium,We are checking your billing issue.,No
MSG00168,CUST5034,Coupon code not working,Unknown,Low,We will assist you shortly.,No
MSG00169,CUST1292,Website not loading,Unknown,Low,We will assist you shortly.,No
MSG00170,CUST9423,Need invoice for my purchase,Billing,Medium,We are checking your billing issue.,No
MSG00171,CUST4662,Payment failed but money deducted,Billing,Medium,We are checking your billing issue.,No
MSG00172,CUST3464,No response from team,Unknown,Low,We will assist you shortly.,No
MSG00173,CUST9257,No response from team,Unknown,Low,We will assist you shortly.,No
MSG00174,CUST1724,Website not loading,Unknown,Low,We will assist you shortly.,No
MSG00175,CUST5619,Order stuck in transit,Unknown,Low,We will assist you shortly.,No
MSG00176,CUST4865,Delivery delayed again !!! urgent help !!!,Delivery,Medium,We are checking your order status.,No
MSG00177,CUST9050,   ,Unknown,Low,We will assist you shortly.,No
MSG00178,CUST5614,Worst experience ever,Complaint,High,We are sorry for your experience.,Yes
MSG00179,CUST8768,My package has not arrived,Delivery,Medium,We are checking your order status.,No
MSG00180,CUST5305,Password reset not working,Technical,Medium,We are working on your technical issue.,No
MSG00181,CUST8930,Payment failed but money deducted,Billing,Medium,We are checking your billing issue.,No
MSG00182,CUST4810,   ,Unknown,Low,We will assist you shortly.,No
MSG00183,CUST3140,I am unhappy with support !!! urgent help !!!,Complaint,High,We are sorry for your experience.,Yes
MSG00184,CUST7212,Need invoice for my purchase !!! urgent help !!!,Billing,Medium,We are checking your billing issue.,No
MSG00185,CUST1957,Very bad service !!! urgent help !!!,Complaint,High,We are sorry for your experience.,Yes
MSG00186,CUST5120,My package has not arrived,Delivery,Medium,We are checking your order status.,No
MSG00187,CUST4354,I am unhappy with support,Complaint,High,We are sorry for your experience.,Yes
MSG00188,CUST5891,Worst experience ever,Complaint,High,We are sorry for your experience.,Yes
MSG00189,CUST7889,Tracking not updating,Delivery,Medium,We are checking your order status.,No
MSG00190,CUST2024,Cannot login to account !!! urgent help !!!,Technical,Medium,We are working on your technical issue.,No
MSG00191,CUST4643,Need invoice for my purchase,Billing,Medium,We are checking your billing issue.,No
MSG00192,CUST6471,   ,Unknown,Low,We will assist you shortly.,No
MSG00193,CUST7045,Wrong item delivered,Unknown,Low,We will assist you shortly.,No
MSG00194,CUST2792,I am unhappy with support,Complaint,High,We are sorry for your experience.,Yes
MSG00195,CUST4868,   ,Unknown,Low,We will assist you shortly.,No
MSG00196,CUST2317,Refund not received yet,Billing,Medium,We are checking your billing issue.,No
MSG00197,CUST2455,Website not loading,Unknown,Low,We will assist you shortly.,No
MSG00198,CUST9923,Tracking not updating,Delivery,Medium,We are checking your order status.,No
MSG00199,CUST6384,Payment failed but money deducted,Billing,Medium,We are checking your billing issue.,No
MSG00200,CUST9869,I was charged twice for my order !!! urgent help !!!,Billing,Medium,We are checking your billing issue.,No
MSG00201,CUST5273,I want refund immediately !!! urgent help !!!,Billing,Medium,We are checking your billing issue.,No
MSG00202,CUST5476,Cannot login to account !!! urgent help !!!,Technical,Medium,We are working on your technical issue.,No
MSG00203,CUST3281,Website not loading,Unknown,Low,We will assist you shortly.,No
MSG00204,CUST3337,Delivery delayed again !!! urgent help !!!,Delivery,Medium,We are checking your order status.,No
MSG00205,CUST9933,Cannot login to account !!! urgent help !!!,Technical,Medium,We are working on your technical issue.,No
MSG00206,CUST9313,Coupon code not working,Unknown,Low,We will assist you shortly.,No
MSG00207,CUST6716,Need invoice for my purchase,Billing,Medium,We are checking your billing issue.,No
MSG00208,CUST1851,Order stuck in transit,Unknown,Low,We will assist you shortly.,No
MSG00209,CUST5428,Refund not received yet,Billing,Medium,We are checking your billing issue.,No
MSG00210,CUST8476,Error during payment,Billing,Medium,We are checking your billing issue.,No
MSG00211,CUST6415,Payment failed but money deducted,Billing,Medium,We are checking your billing issue.,No
MSG00212,CUST9211,Very bad service,Complaint,High,We are sorry for your experience.,Yes
MSG00213,CUST9682,Website not loading,Unknown,Low,We will assist you shortly.,No
MSG00214,CUST3601,Refund not received yet,Billing,Medium,We are checking your billing issue.,No
MSG00215,CUST3224,App is crashing,Technical,Medium,We are working on your technical issue.,No
MSG00216,CUST9518,Error during payment,Billing,Medium,We are checking your billing issue.,No
MSG00217,CUST4465,I want refund immediately !!! urgent help !!!,Billing,Medium,We are checking your billing issue.,No
MSG00218,CUST7602,Coupon code not working,Unknown,Low,We will assist you shortly.,No
MSG00219,CUST4783,My package has not arrived,Delivery,Medium,We are checking your order status.,No
MSG00220,CUST8720,App is crashing,Technical,Medium,We are working on your technical issue.,No
MSG00221,CUST8753,Tracking not updating,Delivery,Medium,We are checking your order status.,No
MSG00222,CUST3457,Error during payment !!! urgent help !!!,Billing,Medium,We are checking your billing issue.,No
MSG00223,CUST8847,App is crashing,Technical,Medium,We are working on your technical issue.,No
MSG00224,CUST4908,My package has not arrived,Delivery,Medium,We are checking your order status.,No
MSG00225,CUST3285,No response from team,Unknown,Low,We will assist you shortly.,No
MSG00226,CUST6766,Tracking not updating !!! urgent help !!!,Delivery,Medium,We are checking your order status.,No
MSG00227,CUST3557,Cannot login to account,Technical,Medium,We are working on your technical issue.,No
MSG00228,CUST6393,Cannot login to account,Technical,Medium,We are working on your technical issue.,No
MSG00229,CUST5612,No response from team,Unknown,Low,We will assist you shortly.,No
MSG00230,CUST4988,Wrong item delivered,Unknown,Low,We will assist you shortly.,No
MSG00231,CUST6442,Need invoice for my purchase,Billing,Medium,We are checking your billing issue.,No
MSG00232,CUST7213,Tracking not updating !!! urgent help !!!,Delivery,Medium,We are checking your order status.,No
MSG00233,CUST4862,App is crashing,Technical,Medium,We are working on your technical issue.,No
MSG00234,CUST8140,I am unhappy with support,Complaint,High,We are sorry for your experience.,Yes
MSG00235,CUST4285,My package has not arrived !!! urgent help !!!,Delivery,Medium,We are checking your order status.,No
MSG00236,CUST2326,I want refund immediately,Billing,Medium,We are checking your billing issue.,No
MSG00237,CUST7368,Password reset not working !!! urgent help !!!,Technical,Medium,We are working on your technical issue.,No
MSG00238,CUST2991,Order stuck in transit,Unknown,Low,We will assist you shortly.,No
MSG00239,CUST6020,Delivery delayed again !!! urgent help !!!,Delivery,Medium,We are checking your order status.,No
MSG00240,CUST6119,Password reset not working,Technical,Medium,We are working on your technical issue.,No
MSG00241,CUST5167,Order stuck in transit,Unknown,Low,We will assist you shortly.,No
MSG00242,CUST5681,Coupon code not working !!! urgent help !!!,Unknown,Low,We will assist you shortly.,No
MSG00243,CUST7504,Coupon code not working,Unknown,Low,We will assist you shortly.,No
MSG00244,CUST7756,Password reset not working !!! urgent help !!!,Technical,Medium,We are working on your technical issue.,No
MSG00245,CUST3191,Refund not received yet,Billing,Medium,We are checking your billing issue.,No
MSG00246,CUST7833,Cannot login to account !!! urgent help !!!,Technical,Medium,We are working on your technical issue.,No
MSG00247,CUST2837,Error during payment,Billing,Medium,We are checking your billing issue.,No
MSG00248,CUST6834,My package has not arrived,Delivery,Medium,We are checking your order status.,No
MSG00249,CUST2107,Password reset not working,Technical,Medium,We are working on your technical issue.,No
MSG00250,CUST4649,Order stuck in transit,Unknown,Low,We will assist you shortly.,No
MSG00251,CUST8748,Tracking not updating !!! urgent help !!!,Delivery,Medium,We are checking your order status.,No
MSG00252,CUST1292,Cannot login to account,Technical,Medium,We are working on your technical issue.,No
MSG00253,CUST2922,Tracking not updating,Delivery,Medium,We are checking your order status.,No
MSG00254,CUST1153,I want refund immediately !!! urgent help !!!,Billing,Medium,We are checking your billing issue.,No
MSG00255,CUST1485,Delivery delayed again !!! urgent help !!!,Delivery,Medium,We are checking your order status.,No
MSG00256,CUST2056,I was charged twice for my order,Billing,Medium,We are checking your billing issue.,No
MSG00257,CUST6779,I was charged twice for my order,Billing,Medium,We are checking your billing issue.,No
MSG00258,CUST4968,App is crashing !!! urgent help !!!,Technical,Medium,We are working on your technical issue.,No
MSG00259,CUST4283,Coupon code not working !!! urgent help !!!,Unknown,Low,We will assist you shortly.,No
MSG00260,CUST7283,Error during payment,Billing,Medium,We are checking your billing issue.,No
MSG00261,CUST5069,Need invoice for my purchase,Billing,Medium,We are checking your billing issue.,No
MSG00262,CUST3681,My package has not arrived !!! urgent help !!!,Delivery,Medium,We are checking your order status.,No
MSG00263,CUST9862,Wrong item delivered,Unknown,Low,We will assist you shortly.,No
MSG00264,CUST4801,I want refund immediately,Billing,Medium,We are checking your billing issue.,No
MSG00265,CUST6449,Very bad service !!! urgent help !!!,Complaint,High,We are sorry for your experience.,Yes
MSG00266,CUST7030,I want refund immediately,Billing,Medium,We are checking your billing issue.,No
MSG00267,CUST8407,   ,Unknown,Low,We will assist you shortly.,No
MSG00268,CUST7259,Cannot login to account !!! urgent help !!!,Technical,Medium,We are working on your technical issue.,No
MSG00269,CUST9704,Password reset not working,Technical,Medium,We are working on your technical issue.,No
MSG00270,CUST1158,Website not loading,Unknown,Low,We will assist you shortly.,No
MSG00271,CUST8352,Tracking not updating,Delivery,Medium,We are checking your order status.,No
MSG00272,CUST3746,My package has not arrived,Delivery,Medium,We are checking your order status.,No
MSG00273,CUST4589,Password reset not working !!! urgent help !!!,Technical,Medium,We are working on your technical issue.,No
MSG00274,CUST6440,My package has not arrived !!! urgent help !!!,Delivery,Medium,We are checking your order status.,No
MSG00275,CUST1447,Password reset not working,Technical,Medium,We are working on your technical issue.,No
MSG00276,CUST9540,Need invoice for my purchase !!! urgent help !!!,Billing,Medium,We are checking your billing issue.,No
MSG00277,CUST4128,Cannot login to account,Technical,Medium,We are working on your technical issue.,No
MSG00278,CUST3337,Cannot login to account !!! urgent help !!!,Technical,Medium,We are working on your technical issue.,No
MSG00279,CUST7868,Refund not received yet,Billing,Medium,We are checking your billing issue.,No
MSG00280,CUST1844,Need invoice for my purchase,Billing,Medium,We are checking your billing issue.,No
MSG00281,CUST6061,Tracking not updating !!! urgent help !!!,Delivery,Medium,We are checking your order status.,No
MSG00282,CUST6577,Need invoice for my purchase !!! urgent help !!!,Billing,Medium,We are checking your billing issue.,No
MSG00283,CUST3644,   ,Unknown,Low,We will assist you shortly.,No
MSG00284,CUST6454,No response from team,Unknown,Low,We will assist you shortly.,No
MSG00285,CUST5523,Very bad service,Complaint,High,We are sorry for your experience.,Yes
MSG00286,CUST6055,Wrong item delivered,Unknown,Low,We will assist you shortly.,No
MSG00287,CUST2379,Wrong item delivered,Unknown,Low,We will assist you shortly.,No
MSG00288,CUST6629,I am unhappy with support,Complaint,High,We are sorry for your experience.,Yes
MSG00289,CUST1423,Error during payment !!! urgent help !!!,Billing,Medium,We are checking your billing issue.,No
MSG00290,CUST4473,I was charged twice for my order,Billing,Medium,We are checking your billing issue.,No
MSG00291,CUST9977,Refund not received yet,Billing,Medium,We are checking your billing issue.,No
MSG00292,CUST1911,App is crashing,Technical,Medium,We are working on your technical issue.,No
MSG00293,CUST4879,App is crashing,Technical,Medium,We are working on your technical issue.,No
MSG00294,CUST1749,Payment failed but money deducted !!! urgent help !!!,Billing,Medium,We are checking your billing issue.,No
MSG00295,CUST6096,Worst experience ever,Complaint,High,We are sorry for your experience.,Yes
MSG00296,CUST3173,Error during payment,Billing,Medium,We are checking your billing issue.,No
MSG00297,CUST1771,Wrong item delivered !!! urgent help !!!,Unknown,Low,We will assist you shortly.,No
MSG00298,CUST7305,Order stuck in transit,Unknown,Low,We will assist you shortly.,No
MSG00299,CUST6067,I was charged twice for my order,Billing,Medium,We are checking your billing issue.,No
MSG00300,CUST5937,No response from team,Unknown,Low,We will assist you shortly.,No
MSG00301,CUST8562,Need invoice for my purchase,Billing,Medium,We are checking your billing issue.,No
MSG00302,CUST4876,Website not loading,Unknown,Low,We will assist you shortly.,No
MSG00303,CUST4693,I was charged twice for my order,Billing,Medium,We are checking your billing issue.,No
MSG00304,CUST7777,App is crashing,Technical,Medium,We are working on your technical issue.,No
MSG00305,CUST6644,Refund not received yet !!! urgent help !!!,Billing,Medium,We are checking your billing issue.,No
MSG00306,CUST3599,Very bad service,Complaint,High,We are sorry for your experience.,Yes
MSG00307,CUST7229,Coupon code not working,Unknown,Low,We will assist you shortly.,No
MSG00308,CUST1148,Very bad service,Complaint,High,We are sorry for your experience.,Yes
MSG00309,CUST6839,Very bad service !!! urgent help !!!,Complaint,High,We are sorry for your experience.,Yes
MSG00310,CUST9402,App is crashing,Technical,Medium,We are working on your technical issue.,No
MSG00311,CUST5464,Wrong item delivered !!! urgent help !!!,Unknown,Low,We will assist you shortly.,No
MSG00312,CUST3708,Very bad service,Complaint,High,We are sorry for your experience.,Yes
MSG00313,CUST1191,I am unhappy with support !!! urgent help !!!,Complaint,High,We are sorry for your experience.,Yes
MSG00314,CUST6154,I want refund immediately,Billing,Medium,We are checking your billing issue.,No
MSG00315,CUST9976,Tracking not updating,Delivery,Medium,We are checking your order status.,No
MSG00316,CUST1219,Cannot login to account !!! urgent help !!!,Technical,Medium,We are working on your technical issue.,No
MSG00317,CUST5570,Error during payment,Billing,Medium,We are checking your billing issue.,No
MSG00318,CUST9948,No response from team,Unknown,Low,We will assist you shortly.,No
MSG00319,CUST1547,Wrong item delivered,Unknown,Low,We will assist you shortly.,No
MSG00320,CUST3056,Refund not received yet,Billing,Medium,We are checking your billing issue.,No
MSG00321,CUST6627,   ,Unknown,Low,We will assist you shortly.,No
MSG00322,CUST4002,Tracking not updating,Delivery,Medium,We are checking your order status.,No
MSG00323,CUST8082,Need invoice for my purchase,Billing,Medium,We are checking your billing issue.,No
